"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q16HiringManager","q24VimorEmacs"
"29","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"30","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Non-Profit","No","Vim"
"31","16 - 20 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Aerospace & Defense","No","Vim"
"32","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","No","Emacs"
"33","21 - 25 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Architect","Data Engineer","Technology","No","Vim"
"34","16 - 20 years old","12 - 18 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Health Care","No","Emacs"
"35","21 - 25 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"36","21 - 25 years old","35 - 44 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Back-end Developer","Media","No","Emacs"
"37","11 - 15 years old","12 - 18 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Computer Hardware","No","Emacs"
"38","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Mobile Developer","Automotive & Transportation","No","Vim"
"39","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Automotive & Transportation","No","Emacs"
"40","21 - 25 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"41","16 - 20 years old","25 - 34 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Web Developer","Education","No","Vim"
"42","11 - 15 years old","12 - 18 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Non-Profit","No","Vim"
"43","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"44","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Aerospace & Defense","No","Emacs"
"45","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Automotive & Transportation","No","Emacs"
"46","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Unemployed","Computer Hardware","No","Vim"
"47","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Automotive & Transportation","No","Emacs"
"48","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Financial Services","No","Vim"
"49","16 - 20 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Freelancer","Front-end Developer","Automotive & Transportation","No","Vim"
"50","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Test Engineer","Automotive & Transportation","Yes","Vim"
"51","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Vim"
"52","16 - 20 years old","12 - 18 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Government","No","Vim"
"53","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Vim"
"54","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Financial Services","No","Vim"
"55","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Reliability Engineer","Technology","No","Vim"
"56","11 - 15 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Back-end Developer","Telecom, Internet Services","No","Vim"
"57","16 - 20 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Principal engineer","Full-stack Developer","Technology","Yes","Emacs"
"58","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Freelancer","Front-end Developer","Retail","Yes","Emacs"
"59","21 - 25 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Emacs"
"60","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Data Engineer","Media","Yes","Vim"
"61","26 - 30 years old","45 - 54 years old","Male","College graduate","Computer Science","Student","Unemployed","Government","No","Vim"
"62","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Back-end Developer","Technology","No","Vim"
"63","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Data Scientist","Technology","Yes","Vim"
"64","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"65","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Emacs"
"66","16 - 20 years old","12 - 18 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Security","No","Vim"
"67","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Founder / CEO / CTO","Software Engineer","Retail","Yes","Vim"
"68","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Engineering manager","Full-stack Developer","Government","Yes","Emacs"
"69","16 - 20 years old","35 - 44 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Web Developer","Education","Yes","Vim"
"70","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Test Engineer","Technology","No","Emacs"
"71","5 - 10 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"72","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Technology","No","Emacs"
"73","21 - 25 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Senior developer","Full-stack Developer","Health Care","Yes","Vim"
"74","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Emacs"
"75","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"76","21 - 25 years old","18 - 24 years old","Non-Binary","College graduate","Computer Science","Student","Back-end Developer","Technology","No","Vim"
"77","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Freelancer","Full-stack Developer","Government","No","Vim"
"78","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Software Engineer","Technology","No","Vim"
"79","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Level 1 developer (junior)","Back-end Developer","Retail","No","Vim"
"80","16 - 20 years old","12 - 18 years old","Female","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"81","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"82","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Specialist","Technology","No","Vim"
"83","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","Yes","Vim"
"84","11 - 15 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"85","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Student","Education","No","Emacs"
"86","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Vim"
"87","11 - 15 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Technology","No","Vim"
"88","5 - 10 years old","35 - 44 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Automotive & Transportation","Yes","Vim"
"89","21 - 25 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Web Developer","Retail","No","Vim"
"90","21 - 25 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Web Developer","Technology","Yes","Vim"
"91","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Non-Profit","No","Vim"
"92","16 - 20 years old","25 - 34 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"93","16 - 20 years old","18 - 24 years old","Female","Some college","Computer Science","Level 1 developer (junior)","Web Developer","Automotive & Transportation","Yes","Vim"
"94","11 - 15 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Computer Science","Student","Student","Education","No","Emacs"
"95","11 - 15 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Senior developer","Software Engineer","Media","Yes","Vim"
"96","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Full-stack Developer","Media","No","Vim"
"97","16 - 20 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Founder / CEO / CTO","Software Architect","Retail","Yes","Vim"
"98","21 - 25 years old","25 - 34 years old","Female","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Back-end Developer","Retail","No","Vim"
"99","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","New grad","Data Analyst","Financial Services","No","Vim"
"100","11 - 15 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"101","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Level 1 developer (junior)","Full-stack Developer","Automotive & Transportation","No","Emacs"
"102","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Full-stack Developer","Technology","No","Vim"
"103","16 - 20 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Education","No","Vim"
"104","21 - 25 years old","18 - 24 years old","Female","College graduate","Computer Science","Level 1 developer (junior)","Web Developer","Technology","No","Vim"
"105","16 - 20 years old","18 - 24 years old","Male","College graduate","Computer Science","Student","Student","Technology","No","Emacs"
"106","16 - 20 years old","25 - 34 years old","Male","College graduate","Computer Science","Senior developer","Software Engineer","Technology","No","Vim"
"107","21 - 25 years old","25 - 34 years old","Male","College graduate","Computer Science","Freelancer","Data Scientist","Education","Yes","Vim"
"108","11 - 15 years old","18 - 24 years old","Male","High school graduate","Computer Science","Student","Student","Computer Hardware","No","Vim"
"109","16 - 20 years old","18 - 24 years old","Male","Some college","Computer Science","Student","Student","Technology","No","Vim"
"110","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"111","16 - 20 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Aerospace & Defense","No","Vim"
"112","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Mobile Developer","Health Care","No","Vim"
"113","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Web Developer","Insurance","No","Vim"
"114","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Financial Services","No","Emacs"
"115","16 - 20 years old","18 - 24 years old","Female","Vocational training (like bootcamp)","Computer Science","Senior developer","Front-end Developer","Technology","Yes","Emacs"
"116","16 - 20 years old","18 - 24 years old","Male","Vocational training (like bootcamp)","Computer Science","Student","Full-stack Developer","Technology","No","Vim"
"117","16 - 20 years old","25 - 34 years old","Male","Some college","Computer Science","Freelancer","Front-end Developer","Technology","No","Vim"
"118","16 - 20 years old","18 - 24 years old","Female","College graduate","Computer Science","Student","Front-end Developer","Non-Profit","No","Vim"
"119","11 - 15 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Engineering manager","Software Engineer","Retail","Yes","Emacs"
"120","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Emacs"
"121","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Computer Hardware","Yes","Vim"
"122","16 - 20 years old","12 - 18 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"123","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Web Developer","Financial Services","No","Vim"
"124","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Technology","Yes","Vim"
"125","11 - 15 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Full-stack Developer","Education","No","Emacs"
"126","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Emacs"
"127","16 - 20 years old","18 - 24 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"128","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Financial Services","Yes","Vim"
"129","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"130","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Automotive & Transportation","No","Emacs"
"131","16 - 20 years old","18 - 24 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Web Developer","Technology","No","Vim"
"132","16 - 20 years old","12 - 18 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"133","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Front-end Developer","Automotive & Transportation","No","Vim"
"134","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"135","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"136","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"137","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Platform Engineer","Computer Hardware","No","Vim"
"138","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"139","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"140","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Mobile Developer","Technology","Yes","Vim"
"141","11 - 15 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Data Scientist","Telecom, Internet Services","No","Vim"
"142","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Technology","Yes","Vim"
"143","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Engineer","Technology","No","Emacs"
"144","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"145","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Front-end Developer","Technology","No","Vim"
"146","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"147","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Automotive & Transportation","Yes","Vim"
"148","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Government","No","Vim"
"149","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Emacs"
"150","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"151","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Financial Services","No","Emacs"
"152","21 - 25 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Health Care","No","Vim"
"153","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Unemployed","Technology","Yes","Vim"
"154","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Software Engineer","Technology","No","Emacs"
"155","21 - 25 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","No","Emacs"
"156","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Development Operations Engineer","Technology","No","Vim"
"157","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Engineer","Technology","No","Vim"
"158","11 - 15 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"159","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Technology","No","Vim"
"160","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Platform Engineer","Technology","No","Vim"
"161","21 - 25 years old","25 - 34 years old","Male","High school graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"162","11 - 15 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Automotive & Transportation","No","Vim"
"163","16 - 20 years old","25 - 34 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Back-end Developer","Financial Services","No","Vim"
"164","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"165","21 - 25 years old","35 - 44 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Front-end Developer","Technology","Yes","Vim"
"166","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Vim"
"167","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Technology","No","Vim"
"168","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","Yes","Emacs"
"169","11 - 15 years old","35 - 44 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Principal engineer","Platform Engineer","Computer Hardware","No","Vim"
"170","16 - 20 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Vim"
"171","5 - 10 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Computer Hardware","Yes","Vim"
"172","11 - 15 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"173","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"174","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"175","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","No","Vim"
"176","21 - 25 years old","18 - 24 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"177","16 - 20 years old","25 - 34 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","Yes","Vim"
"178","21 - 25 years old","25 - 34 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Student","Student","Technology","No","Vim"
"179","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Technology","No","Emacs"
"180","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","New grad","Software Engineer","Technology","Yes","Emacs"
"181","16 - 20 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Test Engineer","Financial Services","Yes","Vim"
"182","21 - 25 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Full-stack Developer","Retail","No","Emacs"
"183","11 - 15 years old","25 - 34 years old","Male","Some high school","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Energy, Oil, Gas, Utilities","Yes","Vim"
"184","5 - 10 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Computer Science","Student","Student","Technology","No","Vim"
"185","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Back-end Developer","Technology","Yes","Vim"
"186","21 - 25 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Test Engineer","Computer Hardware","Yes","Vim"
"187","16 - 20 years old","25 - 34 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Technology","Yes","Vim"
"188","16 - 20 years old","35 - 44 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Software Engineer","Automotive & Transportation","Yes","Vim"
"189","16 - 20 years old","18 - 24 years old","Male","Some post graduate work (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"190","16 - 20 years old","18 - 24 years old","Female","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","Student","Student","Aerospace & Defense","No","Emacs"
"191","16 - 20 years old","18 - 24 years old","Male","Post graduate degree (Masters, PhD)","Other STEM (science, technology, engineering, math)","New grad","Front-end Developer","Technology","No","Emacs"
"192","16 - 20 years old","18 - 24 years old","Male","College graduate","Other STEM (science, technology, engineering, math)","Student","Student","Education","No","Vim"
"193","16 - 20 years old","35 - 44 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Senior developer","Full-stack Developer","Technology","No","Emacs"
"194","16 - 20 years old","25 - 34 years old","Female","College graduate","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Test Engineer","Technology","Yes","Vim"
"195","16 - 20 years old","25 - 34 years old","Male","Some college","Other STEM (science, technology, engineering, math)","Level 1 developer (junior)","Software Engineer","Health Care","No","Vim"
