"","q1AgeBeginCoding","q2Age","q3Gender","q4Education","q5DegreeFocus","q8JobLevel","q9CurrentRole","q10Industry","q24VimorEmacs"
"61","5","6","1","5","1",1,"19","7","1"
"62","3","4","1","5","1",5,"3","14","1"
"63","3","3","1","5","2",4,"6","14","1"
"64","3","3","1","6","2",1,"18","14","1"
"65","4","4","1","5","2",5,"9","14","2"
"66","3","2","1","2","2",1,"18","13","1"
"67","3","4","1","7","1",10,"9","12","1"
"68","3","3","1","3","1",8,"4","7","2"
"69","3","5","2","7","1",5,"1","4","1"
"70","3","3","1","6","1",4,"10","14","2"
"71","1","5","1","7","1",4,"9","14","1"
"72","3","3","1","2","1",1,"18","14","2"
"73","4","4","1","6","1",5,"4","8","1"
"74","3","4","1","5","1",1,"18","14","2"
"75","3","3","2","5","1",1,"18","14","1"
"76","4","3","3","5","1",1,"3","14","1"
"77","3","3","1","5","1",3,"4","7","1"
"78","3","3","1","6","1",1,"9","14","1"
"79","4","4","1","5","1",4,"3","12","1"
"80","3","2","2","5","1",1,"18","14","1"
"81","3","3","2","5","1",4,"9","14","1"
"82","4","4","1","5","1",5,"8","14","1"
"83","3","3","1","5","1",5,"9","14","1"
"84","2","3","1","7","1",1,"18","14","1"
"85","3","3","2","5","1",1,"18","4","2"
"86","3","3","1","5","1",1,"18","14","1"
"87","2","3","1","5","1",1,"1","14","1"
"88","1","5","1","5","1",5,"4","2","1"
"89","4","3","1","5","1",1,"1","12","1"
"90","4","3","1","7","1",4,"1","14","1"
"91","3","3","1","3","1",1,"18","11","1"
"92","3","4","2","5","1",4,"1","14","1"
"93","3","3","2","3","1",4,"1","2","1"
"94","2","3","1","6","1",1,"18","4","2"
"95","2","4","1","7","1",5,"9","10","1"
"96","4","4","1","5","1",5,"4","10","1"
"97","3","5","1","7","1",10,"11","12","1"
"98","4","4","2","7","1",4,"3","12","1"
"99","4","4","1","5","1",2,"5","5","1"
"100","2","3","2","5","1",4,"1","14","1"
"101","3","4","1","7","1",4,"4","2","2"
"102","3","3","1","3","1",1,"4","14","1"
"103","3","3","1","2","1",1,"18","4","1"
"104","4","3","2","5","1",4,"1","14","1"
"105","3","3","1","5","1",1,"18","14","2"
"106","3","4","1","5","1",5,"9","14","1"
"107","4","4","1","5","1",3,"6","4","1"
"108","2","3","1","2","1",1,"18","3","1"
"109","3","3","1","3","1",1,"18","14","1"
"110","3","3","1","5","2",1,"18","4","1"
"111","3","4","2","5","2",4,"4","1","1"
"112","3","4","1","5","2",4,"7","8","1"
"113","3","4","1","5","2",4,"1","9","1"
"114","4","4","1","5","2",4,"9","5","2"
"115","3","3","2","4","1",5,"2","14","2"
"116","3","3","1","4","1",1,"4","14","1"
"117","3","4","1","3","1",3,"2","14","1"
"118","3","3","2","5","1",1,"2","11","1"
"119","2","5","1","7","2",8,"9","12","2"
"120","3","3","1","5","2",1,"18","14","2"
"121","3","4","1","7","2",5,"9","3","1"
"122","3","2","1","6","2",1,"18","14","1"
"123","3","3","1","5","2",4,"1","5","1"
"124","4","4","1","5","2",5,"2","14","1"
"125","2","3","1","5","2",1,"4","4","2"
"126","3","3","1","6","2",1,"18","14","2"
"127","3","3","1","3","2",1,"18","4","2"
"128","4","4","1","5","2",5,"9","5","1"
"129","4","4","1","5","2",5,"4","14","1"
"130","4","3","1","5","2",4,"9","2","2"
"131","3","3","1","2","2",1,"1","14","1"
"132","3","2","1","2","2",1,"18","4","2"
"133","3","3","1","5","2",4,"2","2","1"
"134","3","3","1","7","2",1,"18","4","1"
"135","3","3","1","5","2",1,"18","4","2"
"136","3","3","1","5","2",4,"9","14","1"
"137","4","4","1","5","2",5,"14","3","1"
"138","3","3","1","6","2",1,"18","4","1"
"139","3","3","1","5","2",4,"9","14","2"
"140","2","4","1","5","2",5,"7","14","1"
"141","2","3","2","5","2",5,"6","16","1"
"142","3","3","1","5","2",4,"10","14","1"
"143","3","3","1","5","2",2,"9","14","2"
"144","3","3","1","5","2",1,"18","4","1"
"145","3","3","1","5","2",4,"2","14","1"
"146","3","3","1","5","2",1,"18","14","1"
"147","3","3","1","5","2",4,"3","2","1"
"148","3","3","1","5","2",1,"18","7","1"
"149","3","3","1","5","2",1,"18","4","2"
"150","3","3","1","5","2",1,"18","4","1"
"151","3","3","1","5","2",1,"18","5","2"
"152","4","3","1","5","2",4,"9","8","1"
"153","3","3","1","5","2",2,"19","14","1"
"154","3","3","1","5","2",1,"9","14","2"
"155","4","3","2","5","2",5,"4","14","2"
"156","3","3","1","5","2",4,"13","14","1"
"157","3","3","1","5","2",2,"9","14","1"
"158","2","3","2","5","2",1,"18","4","1"
"159","3","3","1","7","2",4,"4","14","1"
"160","4","4","1","5","2",4,"14","14","1"
"161","4","4","1","2","2",5,"4","14","1"
"162","2","4","1","5","2",5,"9","2","1"
"163","3","4","1","6","2",5,"3","5","1"
"164","3","3","1","5","2",1,"18","14","1"
"165","4","5","2","5","2",5,"2","14","1"
"166","4","4","1","5","2",4,"3","14","1"
"167","3","3","1","5","2",4,"10","14","1"
"168","4","4","1","5","2",5,"4","14","2"
"169","2","5","1","7","2",6,"14","3","1"
"170","3","4","2","5","2",4,"9","14","1"
"171","1","3","1","5","2",4,"3","3","1"
"172","2","3","2","5","2",1,"18","4","1"
"173","3","3","1","7","2",1,"18","14","1"
"174","3","3","1","5","2",1,"18","14","1"
"175","4","4","1","5","2",5,"9","14","1"
"176","4","3","2","5","2",1,"18","14","1"
"177","3","4","1","7","2",5,"4","14","1"
"178","4","4","1","3","2",1,"18","14","1"
"179","3","3","1","5","2",4,"9","14","2"
"180","3","3","1","5","2",2,"9","14","2"
"181","3","4","2","5","2",5,"10","5","1"
"182","4","4","1","5","2",4,"4","12","2"
"183","2","4","1","1","2",5,"4","19","1"
"184","1","3","1","7","1",1,"18","14","1"
"185","3","4","1","5","2",4,"3","14","1"
"186","4","4","2","5","2",5,"10","3","1"
"187","3","4","1","5","2",5,"9","14","1"
"188","3","5","1","5","2",5,"9","2","1"
"189","3","3","1","6","2",1,"18","4","1"
"190","3","3","2","7","2",1,"18","1","2"
"191","3","3","1","7","2",2,"2","14","2"
"192","3","3","1","5","2",1,"18","4","1"
"193","3","5","2","5","2",5,"4","14","2"
"194","3","4","2","5","2",4,"10","14","1"
"195","3","4","1","3","2",4,"9","8","1"
"196","1","4","1","3","2",6,"3","14","1"
"197","5","5","1","7","2",5,"7","14","1"
"198","3","3","1","5","2",1,"18","14","1"
"199","4","6","1","7","2",8,"11","5","2"
"200","2","4","1","5","1",5,"9","14","1"
"201","3","3","1","5","2",5,"7","7","2"
"202","3","3","1","5","2",4,"2","5","1"
"203","4","4","1","5","2",5,"4","14","1"
"204","3","4","1","2","2",8,"10","14","1"
"205","6","5","1","2","2",4,"4","3","1"
"206","4","3","1","5","2",1,"19","4","1"
"207","3","3","1","5","2",4,"9","14","1"
"208","3","3","1","6","2",1,"18","14","1"
"209","3","3","2","5","2",1,"18","14","1"
"210","3","3","1","3","2",1,"18","4","1"
"211","3","7","1","5","2",7,"13","14","1"
"212","4","4","2","5","1",4,"9","14","1"
"213","4","4","2","5","1",4,"5","14","2"
"214","4","4","1","5","1",4,"4","16","1"
"215","3","3","1","3","1",7,"16","7","1"
"216","4","3","1","7","1",2,"9","14","1"
"217","4","3","2","5","1",4,"7","3","2"
"218","3","3","1","5","1",4,"9","14","1"
"219","4","4","1","5","1",4,"4","14","1"
"220","3","3","1","5","1",1,"5","3","1"
"221","3","3","1","7","2",1,"18","14","1"
"222","3","3","1","6","2",1,"6","14","1"
"223","4","4","1","7","2",3,"1","9","2"
"224","3","3","1","7","2",1,"18","5","1"
"225","3","3","2","7","2",2,"6","5","1"
"226","3","3","2","5","2",1,"18","14","1"
"227","3","4","1","7","2",4,"5","11","1"
"228","2","6","1","6","2",6,"4","11","1"
"229","3","4","2","3","1",1,"18","4","1"
"230","2","2","2","5","1",1,"18","4","1"
"231","3","3","1","6","1",1,"3","13","1"
"232","3","3","1","2","1",1,"18","14","1"
"233","3","3","2","5","1",2,"19","4","1"
"234","4","3","1","5","1",1,"18","13","1"
"235","3","4","1","3","1",1,"18","8","2"
"236","3","3","2","5","1",4,"9","14","2"
"237","2","3","1","7","1",1,"18","14","1"
"238","2","3","1","3","1",1,"9","13","1"
"239","3","3","1","5","1",4,"9","5","1"
"240","2","4","1","6","1",7,"1","5","1"
"241","3","3","2","3","1",5,"9","14","2"
"242","2","5","1","7","1",8,"11","14","1"
"243","3","4","2","5","1",4,"15","7","1"
"244","3","3","1","7","1",2,"9","14","1"
"245","3","3","1","5","1",1,"18","4","1"
"246","3","3","1","5","1",1,"18","4","2"
"247","2","5","1","4","1",5,"11","8","2"
"248","3","4","1","7","1",1,"13","14","1"
"249","5","4","1","5","1",6,"13","7","1"
"250","4","6","1","6","1",1,"18","4","2"
"251","5","6","1","5","1",5,"4","16","1"
"252","3","3","1","3","1",1,"9","3","1"
"253","3","3","1","6","1",4,"9","14","1"
"254","2","3","1","5","1",4,"4","14","1"
"255","5","4","1","5","1",10,"3","2","1"
"256","3","5","1","4","1",1,"16","13","2"
"257","2","3","1","5","1",1,"18","14","1"
"258","2","3","1","5","1",4,"9","2","1"
"259","3","3","1","2","1",3,"2","14","2"
"260","3","3","1","7","1",4,"4","14","1"
"261","3","3","1","6","1",10,"9","14","1"
"262","2","3","1","3","1",1,"18","3","1"
"263","3","4","1","5","1",4,"14","14","1"
"264","3","4","1","5","1",4,"3","16","1"
"265","4","3","2","5","1",1,"18","14","1"
"266","3","3","2","3","1",4,"4","14","2"
"267","3","3","1","7","1",1,"18","4","2"
"268","2","3","1","7","1",1,"18","4","1"
"269","2","6","1","5","1",10,"11","14","2"
"270","3","4","2","6","2",4,"5","2","1"
"271","3","3","1","5","2",5,"4","14","1"
"272","3","3","1","5","2",2,"5","14","2"
"273","3","4","1","7","2",5,"4","14","1"
"274","3","4","1","5","2",5,"9","14","1"
"275","4","3","1","3","2",1,"18","13","1"
"276","3","3","1","5","1",4,"9","14","1"
"277","3","3","1","5","2",4,"9","14","1"
"278","3","3","1","5","2",4,"10","12","1"
"279","2","2","1","7","1",1,"18","14","2"
"280","2","3","2","7","1",1,"18","1","2"
"281","3","6","1","6","1",6,"9","1","1"
"282","4","4","1","5","2",8,"11","14","1"
"283","4","4","1","5","2",7,"11","14","1"
"284","3","3","1","6","2",1,"18","14","1"
"285","4","4","1","6","2",5,"1","14","1"
"286","2","3","1","3","2",1,"10","13","1"
"287","4","4","2","7","2",5,"1","4","1"
"288","3","3","2","6","2",1,"18","4","1"
"289","2","5","1","7","2",8,"13","2","1"
"290","5","4","1","5","2",5,"5","9","1"
"291","4","4","1","5","2",5,"2","14","1"
"292","5","5","1","5","2",5,"2","14","1"
"293","4","4","1","6","2",4,"10","1","1"
"294","2","7","1","7","1",9,"11","20","1"
"295","4","7","1","5","1",5,"3","18","1"
"296","3","3","1","5","1",1,"4","13","1"
"297","1","3","1","3","2",1,"6","14","1"
"298","4","4","1","5","1",4,"3","14","1"
"299","2","3","1","5","1",1,"18","14","1"
"300","3","4","1","5","1",4,"3","14","2"
"301","3","3","1","5","1",4,"1","4","1"
"302","5","4","1","3","2",4,"9","14","1"
"303","3","3","1","2","1",1,"18","14","1"
"304","2","4","1","5","1",5,"12","14","1"
"305","3","3","1","2","1",4,"1","4","2"
"306","2","4","1","6","2",5,"4","14","1"
"307","3","4","1","7","1",5,"9","5","1"
"308","3","3","1","3","1",1,"18","14","1"
"309","4","5","1","6","1",4,"6","4","1"
"310","3","2","3","3","1",1,"18","14","1"
"311","3","3","1","5","2",2,"13","14","1"
"312","3","3","1","5","2",4,"3","14","1"
"313","3","3","1","5","2",4,"9","14","1"
"314","3","3","1","3","2",2,"9","14","1"
"315","3","3","1","5","1",1,"18","14","1"
"316","4","4","1","5","2",4,"10","10","1"
"317","2","4","1","5","2",8,"4","14","1"
"318","3","3","1","7","1",1,"18","14","2"
"319","3","4","1","5","1",5,"4","14","1"
"320","3","2","1","2","1",1,"18","4","1"
"321","4","3","1","5","2",1,"18","14","1"
"322","3","3","1","5","1",4,"9","12","2"
"323","2","4","1","5","2",5,"9","14","1"
"324","3","6","1","7","1",5,"4","8","1"
"325","3","4","1","6","1",5,"9","8","2"
"326","3","3","1","5","1",1,"3","10","1"
"327","3","2","1","1","2",1,"18","4","2"
"328","3","4","1","5","1",5,"3","14","1"
"329","2","4","1","5","1",5,"9","2","1"
"330","3","3","1","2","1",4,"6","14","1"
"331","3","4","1","7","1",6,"9","1","1"
"332","4","4","1","5","1",5,"7","14","1"
"333","4","3","1","3","1",4,"4","2","1"
"334","3","4","1","3","1",6,"3","12","1"
"335","3","3","1","3","2",4,"7","14","2"
"336","3","3","1","3","1",1,"18","14","1"
"337","5","6","1","5","2",5,"7","13","2"
"338","4","5","1","3","1",5,"7","10","1"
"339","4","4","1","5","2",5,"4","6","1"
"340","4","4","1","7","1",5,"9","14","1"
"341","3","3","1","3","1",4,"4","14","1"
"342","4","5","1","5","1",5,"9","14","1"
"343","3","3","1","3","1",1,"18","14","1"
"344","4","5","1","5","2",5,"4","14","1"
"345","3","3","1","3","1",1,"18","4","1"
"346","3","4","1","5","1",5,"3","14","1"
"347","3","4","1","5","2",5,"7","10","1"
"348","3","4","1","5","1",4,"7","5","1"
"349","4","4","1","5","2",4,"1","14","1"
"350","3","3","1","5","1",4,"4","5","1"
"351","5","5","1","5","1",5,"4","5","1"
"352","2","2","2","3","1",1,"18","4","1"
"353","3","3","1","2","1",5,"1","4","1"
"354","3","2","1","1","2",1,"9","4","1"
"355","1","3","1","3","2",1,"18","14","1"
"356","2","4","1","7","1",8,"12","14","1"
"357","3","2","1","1","2",1,"18","4","2"
"358","3","4","2","6","1",5,"3","14","1"
"359","3","4","1","5","1",6,"4","14","1"
"360","3","4","1","5","1",5,"7","2","1"
"361","3","3","1","5","1",4,"9","14","1"
"362","3","3","1","5","1",5,"4","10","1"
"363","2","4","1","5","1",5,"13","14","1"
"364","3","3","1","5","2",1,"18","14","1"
"365","4","7","1","5","1",5,"6","14","1"
"366","4","5","1","6","2",5,"11","5","1"
"367","3","5","1","5","2",5,"11","14","1"
"368","2","4","1","7","2",4,"11","12","2"
"369","1","5","1","6","2",3,"4","19","1"
"370","4","4","1","5","2",6,"16","16","1"
"371","3","4","1","6","1",5,"3","14","1"
"372","2","5","1","5","1",3,"4","14","1"
"373","2","4","1","4","1",3,"2","10","1"
"374","3","4","2","5","1",5,"3","14","1"
"375","3","3","1","5","1",4,"4","14","1"
"376","4","4","2","5","2",4,"3","12","1"
"377","4","5","1","5","2",5,"1","14","1"
"378","3","4","1","5","2",5,"4","5","1"
"379","1","5","1","5","1",9,"11","7","1"
"380","4","4","1","5","1",1,"18","11","1"
"381","2","3","2","5","1",4,"1","14","1"
"382","3","5","1","5","2",8,"9","1","1"
"383","4","4","1","5","1",2,"3","4","1"
"384","3","4","2","5","2",4,"7","14","1"
"385","2","4","1","5","1",5,"7","10","2"
"386","3","4","1","6","2",5,"9","14","1"
"387","2","4","1","3","1",8,"11","5","1"
"388","3","5","1","7","1",5,"4","7","1"
"389","3","6","1","5","1",5,"8","19","1"
"390","2","3","1","5","1",1,"18","4","1"
"391","2","5","1","5","1",10,"11","14","2"
"392","3","4","1","5","1",5,"3","14","1"
"393","2","4","1","5","1",6,"9","14","1"
"394","3","5","1","7","1",7,"11","13","2"
"395","1","6","1","7","1",5,"9","8","1"
"396","4","4","1","7","1",6,"9","14","2"
"397","3","4","1","7","2",5,"7","5","1"
"398","2","3","1","3","1",1,"18","4","1"
"399","2","4","2","7","1",5,"1","1","1"
"400","2","5","1","6","1",5,"4","5","1"
"401","3","4","1","5","1",5,"9","14","1"
"402","2","4","2","6","1",2,"14","14","1"
"403","3","5","1","7","1",1,"9","9","1"
"404","1","3","1","3","1",1,"4","4","1"
"405","3","4","1","7","1",3,"4","14","1"
"406","3","5","1","7","1",5,"9","14","1"
"407","3","4","2","5","2",4,"4","1","1"
"408","5","4","1","6","2",4,"9","14","1"
"409","3","5","1","5","2",5,"10","3","1"
"410","3","4","1","7","2",1,"18","4","2"
"411","4","5","1","7","1",6,"4","5","1"
"412","3","4","1","7","1",4,"3","5","1"
"413","3","3","1","5","2",4,"3","14","1"
"414","2","4","2","5","2",5,"9","5","1"
"415","2","5","1","5","2",4,"4","4","1"
"416","2","6","1","5","1",3,"3","14","2"
"417","3","3","1","7","1",1,"4","14","1"
"418","2","3","1","5","1",1,"18","14","1"
"419","3","3","1","7","1",2,"7","2","1"
"420","3","4","1","7","1",5,"4","8","2"
"421","2","3","1","7","2",1,"18","4","1"
"422","2","3","1","3","1",1,"18","14","1"
"423","4","4","1","7","1",4,"9","1","2"
"424","2","4","1","7","1",4,"4","5","1"
"425","3","4","1","7","1",4,"3","10","1"
"426","3","4","1","7","1",6,"17","10","1"
"427","3","3","1","6","1",4,"3","13","1"
"428","3","3","1","3","1",4,"4","14","1"
"429","2","3","1","5","1",1,"18","4","1"
"430","3","4","1","7","1",2,"4","16","1"
"431","2","5","1","6","1",5,"9","17","1"
"432","3","3","2","5","1",1,"18","14","1"
"433","2","3","1","3","1",1,"18","14","1"
"434","3","3","1","5","1",1,"18","14","1"
"435","3","4","1","5","1",1,"1","14","1"
"436","1","5","1","5","1",5,"9","14","1"
"437","3","5","1","5","1",6,"9","14","1"
"438","5","4","1","5","2",4,"4","14","1"
"439","3","4","1","5","1",2,"7","4","1"
"440","4","3","1","7","1",1,"18","8","1"
"441","3","3","1","5","2",1,"1","12","1"
"442","2","4","1","3","1",1,"18","4","1"
"443","2","4","1","3","1",5,"4","7","1"
"444","2","2","1","1","2",1,"18","4","1"
"445","3","3","1","3","1",1,"18","4","1"
"446","2","3","1","1","2",1,"18","4","1"
"447","3","3","1","5","1",1,"3","5","1"
"448","2","3","1","5","2",1,"18","3","1"
"449","3","3","1","3","1",1,"18","5","1"
"450","3","3","1","5","1",1,"9","14","2"
"451","2","3","1","3","1",1,"6","5","1"
"452","2","3","1","3","1",1,"18","14","2"
"453","3","3","1","5","2",2,"9","5","1"
"454","3","3","1","5","1",1,"18","14","2"
"455","3","3","1","5","1",1,"18","4","1"
"456","4","4","1","5","1",1,"18","4","1"
"457","3","3","1","6","1",1,"18","14","1"
"458","5","6","1","7","1",7,"11","5","2"
"459","3","4","1","5","1",6,"3","14","1"
"460","2","4","2","5","1",8,"3","14","2"
"461","2","5","1","7","1",1,"18","4","1"
"462","3","3","1","6","1",1,"18","14","1"
"463","2","3","1","5","1",1,"18","14","2"
"464","3","4","1","6","1",4,"9","14","1"
"465","4","4","2","2","2",1,"18","4","2"
"466","2","3","1","5","1",1,"18","14","1"
"467","2","3","1","5","1",4,"3","5","1"
"468","3","4","1","7","1",5,"9","14","1"
"469","3","3","1","6","2",3,"4","12","1"
"470","3","3","1","3","2",1,"18","14","2"
"471","3","3","1","3","1",1,"9","14","1"
"472","2","5","1","7","2",6,"11","8","1"
"473","2","5","1","5","1",5,"7","5","1"
"474","4","4","1","5","2",4,"1","4","2"
"475","1","5","1","3","1",5,"9","14","2"
"476","3","3","2","5","1",2,"9","14","1"
"477","2","3","1","5","1",1,"18","4","1"
"478","2","5","1","7","2",5,"13","3","1"
"479","4","4","1","3","2",5,"3","5","1"
"480","2","3","1","7","2",1,"18","3","1"
"481","3","4","1","7","2",4,"17","10","1"
"482","3","3","1","7","1",1,"18","14","1"
"483","3","4","1","5","2",6,"13","10","1"
"484","3","4","1","7","2",7,"4","8","1"
"485","3","6","1","7","2",5,"9","10","2"
"486","3","4","1","5","1",4,"9","14","1"
"487","1","3","1","7","1",1,"9","14","2"
"488","3","4","1","6","1",2,"9","14","1"
"489","4","7","1","7","2",5,"9","14","2"
"490","3","3","2","5","1",1,"18","14","1"
"491","3","4","1","5","1",5,"12","12","1"
"492","3","4","2","5","1",4,"9","14","1"
"493","3","4","2","5","1",5,"5","14","1"
"494","4","4","1","7","1",5,"9","12","1"
"495","3","3","1","5","1",1,"4","8","1"
"496","2","3","1","5","1",4,"1","14","1"
"497","2","3","1","6","1",1,"5","4","2"
"498","4","4","1","7","1",4,"3","13","1"
"499","3","3","1","5","1",1,"18","14","1"
"500","1","5","1","6","2",5,"11","12","1"
"501","3","4","1","6","2",4,"5","11","1"
"502","4","5","1","5","1",5,"17","5","1"
"503","3","3","1","6","1",2,"9","14","1"
"504","3","4","1","5","1",5,"9","2","1"
"505","3","3","1","5","1",4,"10","14","1"
"506","3","5","1","5","1",6,"9","14","1"
"507","4","5","1","7","1",5,"9","14","2"
"508","2","3","1","5","1",1,"9","14","1"
"509","3","6","2","7","1",5,"3","5","1"
"510","3","3","1","5","2",1,"9","5","1"
"511","1","6","1","6","1",5,"13","14","1"
"512","3","5","1","6","1",6,"9","14","1"
"513","2","3","1","5","1",5,"4","2","1"
"514","3","4","1","7","1",5,"8","19","1"
"515","3","3","1","7","1",1,"18","14","1"
"516","5","4","1","3","2",1,"18","12","1"
"517","2","4","1","5","1",4,"5","7","1"
"518","3","4","1","5","1",5,"9","15","2"
"519","6","5","3","4","1",1,"18","6","1"
"520","4","4","2","7","2",4,"9","14","1"
"521","3","7","1","7","2",5,"9","16","2"
"522","3","3","1","5","1",1,"18","4","1"
"523","3","3","1","3","1",1,"7","14","1"
"524","2","2","1","5","1",1,"18","4","1"
"525","3","4","1","7","1",1,"4","14","1"
"526","3","3","2","5","1",1,"18","14","1"
"527","3","3","2","5","2",1,"4","14","1"
"528","3","7","1","7","2",5,"9","14","1"
"529","3","3","1","5","1",1,"18","14","1"
"530","3","3","2","5","2",4,"9","3","1"
"531","3","4","1","6","1",5,"9","14","1"
"532","3","3","1","5","1",4,"19","10","1"
"533","3","3","2","5","1",4,"9","14","1"
"534","3","3","2","5","1",1,"9","14","1"
"535","3","3","2","5","1",1,"9","5","1"
"536","3","3","1","2","1",1,"9","14","1"
"537","3","3","1","6","1",1,"18","14","1"
"538","3","3","1","5","1",1,"9","14","1"
"539","3","3","1","7","1",1,"9","14","1"
"540","2","5","1","7","1",5,"4","7","1"
"541","3","3","1","7","1",1,"6","14","1"
"542","2","5","1","6","1",5,"9","5","1"
"543","3","3","1","3","1",4,"10","12","1"
"544","4","4","1","5","1",4,"2","12","1"
"545","3","4","2","7","1",1,"18","14","1"
"546","3","4","1","5","1",5,"4","12","2"
"547","2","3","1","3","1",1,"18","4","1"
"548","3","3","1","5","1",4,"4","5","1"
"549","3","4","1","5","2",4,"17","12","1"
"550","3","3","1","7","2",1,"17","7","2"
"551","2","5","1","5","1",5,"7","5","2"
"552","2","6","1","6","1",5,"9","1","1"
"553","2","4","1","5","1",5,"9","14","1"
"554","3","3","2","3","1",1,"18","4","1"
"555","3","3","1","5","1",1,"18","14","1"
"556","2","6","1","3","1",6,"13","14","1"
"557","3","3","1","7","1",1,"18","14","1"
"558","2","3","1","5","1",1,"18","4","1"
"559","6","5","1","5","1",8,"17","2","2"
"560","3","3","1","3","1",1,"18","14","1"
"561","3","4","1","5","2",5,"9","14","1"
"562","3","3","1","5","2",4,"5","5","1"
"563","4","4","1","5","2",5,"3","12","1"
"564","3","3","1","5","1",1,"18","14","1"
"565","3","4","2","6","1",1,"2","14","1"
"566","3","3","1","3","1",1,"18","14","2"
"567","3","3","1","5","1",1,"3","14","1"
"568","3","3","2","3","2",1,"18","14","1"
"569","6","5","1","5","1",2,"9","1","2"
"570","2","4","1","7","1",2,"9","14","1"
"571","3","4","1","7","1",1,"18","13","1"
"572","3","4","1","5","1",5,"9","8","1"
"573","4","3","1","7","2",1,"18","14","2"
"574","3","4","1","3","2",1,"18","5","1"
"575","2","4","1","7","1",5,"3","14","1"
"576","3","4","1","6","1",1,"18","14","1"
"577","2","5","1","5","1",5,"4","5","1"
"578","5","4","1","7","1",1,"1","4","1"
"579","3","3","1","5","1",1,"1","4","1"
"580","3","3","2","5","1",1,"18","14","2"
"581","3","3","1","5","1",1,"18","12","1"
"582","2","4","1","5","2",5,"4","12","1"
"583","3","3","1","3","1",1,"18","4","1"
"584","3","4","1","6","1",4,"3","5","1"
"585","3","4","1","7","1",5,"4","9","1"
"586","3","3","1","3","2",1,"18","3","1"
"587","5","5","1","6","1",4,"9","14","1"
"588","3","3","1","3","1",1,"18","14","1"
"589","3","3","1","5","1",4,"9","14","1"
"590","3","3","1","5","1",4,"3","14","1"
"591","3","3","1","7","2",1,"18","14","1"
"592","2","3","2","7","1",2,"9","14","1"
"593","3","3","1","5","1",1,"4","3","1"
"594","3","6","1","3","1",8,"4","10","2"
"595","2","4","1","5","1",5,"9","12","1"
"596","4","4","1","5","1",4,"4","19","1"
"597","3","3","1","5","1",1,"18","14","1"
"598","4","4","1","7","1",5,"9","14","1"
"599","2","4","1","6","1",2,"9","14","1"
"600","4","4","1","5","2",5,"13","14","1"
"601","3","3","1","7","1",2,"19","10","1"
"602","3","4","1","7","1",5,"9","14","1"
